"Age","Region","YearsExperience","YearsCurrentJob","JobDescription","JobType","Happiness","Income","Gender","SwitchedJobsLast6Months"
"24 - 26","GBA","3 - 5","Menos de un año","Developer","Full-Time",3,15000,"M",1
"31 - 33","GBA","10+","5 - 6","SysAdmin / DevOps","Full-Time",3,28600,"M",0
"31 - 33","GBA","10+","5 - 6","Developer","Full-Time",4,52000,"M",0
"24 - 26","Santa Fe","Menos de un año","2 - 3","Analista de proyecto","Full-Time",3,20000,"M",0
"27 - 30","GBA","5 - 7","3 - 4","Developer","Full-Time",4,30440,"M",0
"50+","CABA","10+","Menos de un año","SysAdmin / DevOps","Part-Time",4,27142.8571428571,"M",1
"27 - 30","GBA","8 - 10","4 - 5","SysAdmin / DevOps","Full-Time",2,25000,"M",0
"27 - 30","GBA","1 - 2","1 - 2","Networking","Full-Time",3,25000,"M",0
"21 - 23","CABA","3 - 5","Menos de un año","Designer","Freelance",4,9000,"M",0
"31 - 33","Misiones","5 - 7","1 - 2","SysAdmin / DevOps","Full-Time",1,8571.42857142857,"M",0
"24 - 26","GBA","3 - 5","Menos de un año","Developer","Full-Time",1,10000,"M",0
"37 - 40","CABA","8 - 10","3 - 4","Técnico en telecomunicaciones ","Full-Time",2,35000,"M",0
"24 - 26","CABA","5 - 7","5 - 6","Infosec","Full-Time",2,26142.8571428571,"M",0
"37 - 40","CABA","3 - 5","2 - 3","SysAdmin / DevOps","Full-Time",3,26000,"M",0
"21 - 23","Santa Fe","3 - 5","1 - 2","HelpDesk","Full-Time",3,14057.1428571429,"M",0
"31 - 33","CABA","8 - 10","2 - 3","Networking","Full-Time",3,30000,"M",0
"27 - 30","CABA","1 - 2","1 - 2","Developer","Full-Time",2,11600,"F",0
"31 - 33","CABA","8 - 10","8 - 9","SysAdmin / DevOps","Full-Time",2,22857.1428571429,"M",0
"37 - 40","CABA","8 - 10","Menos de un año","SysAdmin / DevOps","Full-Time",5,38000,"M",1
"27 - 30","GBA","Menos de un año","Menos de un año","Developer","Full-Time",2,15085.7142857143,"M",0
"34 - 36","CABA","10+","1 - 2","Networking","Full-Time",3,28500,"M",0
"24 - 26","CABA","Menos de un año","Menos de un año","QA / Tester","Full-Time",5,15000,"F",0
"27 - 30","CABA","5 - 7","1 - 2","SysAdmin / DevOps","Full-Time",4,46000,"M",0
"31 - 33","CABA","8 - 10","Menos de un año","QA / Tester","Full-Time",3,31428.5714285714,"M",1
"27 - 30","GBA","3 - 5","2 - 3","Analisis funcional","Full-Time",3,34285.7142857143,"M",0
"27 - 30","GBA","10+","2 - 3","Monitoring","Full-Time",4,20000,"M",0
"27 - 30","Chaco","8 - 10","Menos de un año","BP","Full-Time",3,14000,"M",0
"27 - 30","CABA","5 - 7","1 - 2","Analista de Procesos","Full-Time",3,32857.1428571429,"M",0
"27 - 30","CABA","3 - 5","4 - 5","Middleware","Full-Time",3,41714.2857142857,"M",0
"34 - 36","GBA","3 - 5","Menos de un año","Developer","Part-Time",1,7500,"M",0
"27 - 30","GBA","10+","6 - 7","SysAdmin / DevOps","Full-Time",3,25000,"M",0
"27 - 30","GBA","1 - 2","1 - 2","Developer","Full-Time",5,15000,"M",1
"27 - 30","CABA","8 - 10","8 - 9","SysAdmin / DevOps","Full-Time",2,30285.7142857143,"M",0
"41 - 45","CABA","10+","5 - 6","SysAdmin / DevOps","Full-Time",2,25000,"M",0
"24 - 26","GBA","1 - 2","Menos de un año","Developer","Part-Time",4,8571.42857142857,"M",0
"31 - 33","CABA","8 - 10","5 - 6","Infosec","Full-Time",2,23000,"M",0
"34 - 36","GBA","5 - 7","3 - 4","Developer","Full-Time",2,21500,"M",0
"34 - 36","CABA","10+","3 - 4","SysAdmin / DevOps","Full-Time",3,31000,"M",0
"37 - 40","CABA","10+","5 - 6","Developer","Full-Time",1,30000,"M",0
"24 - 26","GBA","5 - 7","4 - 5","SysAdmin / DevOps","Full-Time",3,18571.4285714286,"M",0
"27 - 30","Mendoza","1 - 2","1 - 2","Networking","Full-Time",3,11801.4285714286,"M",0
"21 - 23","CABA","3 - 5","1 - 2","DBA","Full-Time",3,20000,"M",0
"24 - 26","GBA","3 - 5","1 - 2","Developer","Full-Time",1,14230,"M",0
"31 - 33","CABA","10+","2 - 3","SysAdmin / DevOps","Full-Time",3,30000,"M",0
"21 - 23","CABA","Menos de un año","Menos de un año","HelpDesk","Full-Time",3,11571.4285714286,"M",0
"27 - 30","Cordoba","5 - 7","Menos de un año","Developer","Freelance",4,75000,"M",1
"27 - 30","GBA","5 - 7","1 - 2","Developer","Remoto (empresa de otro país)",4,42857.1428571429,"M",0
"37 - 40","Cordoba","8 - 10","8 - 9","Infosec","Full-Time",3,26800,"M",0
"24 - 26","GBA","Menos de un año","Menos de un año","Developer","Full-Time",1,10000,"M",0
"27 - 30","GBA","3 - 5","1 - 2","Developer","Full-Time",2,17142.8571428571,"M",1
"34 - 36","Cordoba","8 - 10","8 - 9","HelpDesk","Full-Time",3,21428.5714285714,"M",0
"27 - 30","GBA","8 - 10","5 - 6","Developer","Full-Time",4,36571.4285714286,"M",0
"21 - 23","CABA","1 - 2","1 - 2","Infosec","Part-Time",2,16857.1428571429,"M",0
"31 - 33","CABA","5 - 7","5 - 6","SysAdmin / DevOps","Freelance",3,30428.5714285714,"M",0
"27 - 30","CABA","8 - 10","4 - 5","HelpDesk","Part-Time",3,17142.8571428571,"M",0
"37 - 40","GBA","8 - 10","1 - 2","Developer","Full-Time",4,32500,"M",0
"31 - 33","Cordoba","5 - 7","1 - 2","SysAdmin / DevOps","Full-Time",2,13000,"M",0
"27 - 30","GBA","5 - 7","4 - 5","SysAdmin / DevOps","Full-Time",2,21428.5714285714,"M",0
"18 - 20","CABA","Menos de un año","Menos de un año","Developer","Part-Time",3,8571.42857142857,"M",0
"21 - 23","CABA","3 - 5","1 - 2","HelpDesk","Full-Time",2,13714.2857142857,"M",0
"24 - 26","CABA","5 - 7","1 - 2","SysAdmin / DevOps","Full-Time",5,46000,"M",0
"37 - 40","Salta","3 - 5","1 - 2","DBA","Part-Time",2,9285.71428571429,"M",0
"27 - 30","Cordoba","5 - 7","1 - 2","SysAdmin / DevOps","Full-Time",4,29000,"M",0
"31 - 33","CABA","10+","Menos de un año","Gerente IT","Full-Time",3,52000,"M",1
"37 - 40","GBA","10+","1 - 2","DBA","Full-Time",2,31428.5714285714,"M",0
"27 - 30","GBA","1 - 2","1 - 2","HelpDesk","Full-Time",4,16000,"F",0
"27 - 30","GBA","1 - 2","1 - 2","Developer","Full-Time",4,17142.8571428571,"M",0
"21 - 23","CABA","3 - 5","1 - 2","SysAdmin / DevOps","Full-Time",4,25000,"M",0
"21 - 23","CABA","3 - 5","2 - 3","HelpDesk","Full-Time",2,21428.5714285714,"M",0
"31 - 33","CABA","3 - 5","Menos de un año","Networking","Full-Time",4,19000,"M",1
"24 - 26","Cordoba","3 - 5","2 - 3","Networking","Full-Time",5,28571.4285714286,"M",0
"24 - 26","GBA","8 - 10","Menos de un año","Infosec","Full-Time",5,34285.7142857143,"M",1
"24 - 26","GBA","1 - 2","1 - 2","Developer","Full-Time",1,14285.7142857143,"M",0
